시군구명,연령(구분),사업장가입자,지역가입자,임의가입자,임의계속가입자
서울특별시 종로구,18_19,2367,87,21,0
서울특별시 종로구,20_24,14475,1709,75,0
서울특별시 종로구,25_29,35938,3129,22,0
서울특별시 종로구,30_34,41374,3068,6,0
서울특별시 종로구,35_39,37039,2160,41,0
서울특별시 중구,18_19,1560,67,6,0
서울특별시 중구,20_24,20340,1245,35,0
서울특별시 중구,25_29,65519,2401,9,0
서울특별시 중구,30_34,80517,2765,10,0
서울특별시 중구,35_39,71715,2058,47,0
서울특별시 용산구,18_19,886,125,26,0
서울특별시 용산구,20_24,11251,2131,81,0
서울특별시 용산구,25_29,23756,4348,29,0
서울특별시 용산구,30_34,28235,4969,28,0
서울특별시 용산구,35_39,23069,3684,72,0
서울특별시 성동구,18_19,535,149,30,0
서울특별시 성동구,20_24,7715,3019,140,0
서울특별시 성동구,25_29,25659,5904,36,0
서울특별시 성동구,30_34,29403,5437,22,0
서울특별시 성동구,35_39,20824,3998,105,0
서울특별시 광진구,18_19,163,190,45,0
서울특별시 광진구,20_24,2400,4191,149,0
서울특별시 광진구,25_29,7291,8668,37,0
서울특별시 광진구,30_34,8157,7641,27,0
서울특별시 광진구,35_39,7196,5272,71,0
서울특별시 동대문구,18_19,106,206,34,0
서울특별시 동대문구,20_24,2354,4536,190,0
서울특별시 동대문구,25_29,7367,7840,52,0
서울특별시 동대문구,30_34,8731,6641,17,0
서울특별시 동대문구,35_39,7970,4986,86,0
서울특별시 중랑구,18_19,82,157,18,0
서울특별시 중랑구,20_24,1418,3401,96,0
서울특별시 중랑구,25_29,4247,7225,22,0
서울특별시 중랑구,30_34,4724,7780,29,0
서울특별시 중랑구,35_39,4550,6022,94,0
서울특별시 성북구,18_19,84,278,62,0
서울특별시 성북구,20_24,1845,5667,260,0
서울특별시 성북구,25_29,6290,8850,49,0
서울특별시 성북구,30_34,6907,7557,31,0
서울특별시 성북구,35_39,6080,5864,142,0
서울특별시 강북구,18_19,58,152,23,0
서울특별시 강북구,20_24,956,3148,74,0
서울특별시 강북구,25_29,2499,5506,13,0
서울특별시 강북구,30_34,2860,5431,14,0
서울특별시 강북구,35_39,2486,4212,56,0
서울특별시 도봉구,18_19,46,147,17,0
서울특별시 도봉구,20_24,918,2803,74,0
서울특별시 도봉구,25_29,2565,5339,16,0
서울특별시 도봉구,30_34,2926,5352,23,0
서울특별시 도봉구,35_39,2663,4299,67,0
서울특별시 노원구,18_19,95,274,88,0
서울특별시 노원구,20_24,1870,5601,193,0
서울특별시 노원구,25_29,5156,8336,60,0
서울특별시 노원구,30_34,5382,7274,45,0
서울특별시 노원구,35_39,4946,5672,151,0
서울특별시 은평구,18_19,66,253,51,0
서울특별시 은평구,20_24,1382,4309,141,0
서울특별시 은평구,25_29,3821,8710,28,0
서울특별시 은평구,30_34,4431,8704,38,0
서울특별시 은평구,35_39,4024,6413,127,0
서울특별시 서대문구,18_19,89,155,35,0
서울특별시 서대문구,20_24,2205,3826,190,0
서울특별시 서대문구,25_29,7819,7058,59,0
서울특별시 서대문구,30_34,9701,6157,35,0
서울특별시 서대문구,35_39,8360,4246,122,0
서울특별시 마포구,18_19,595,190,63,0
서울특별시 마포구,20_24,9657,4218,238,0
서울특별시 마포구,25_29,32365,8997,54,0
서울특별시 마포구,30_34,35761,8571,36,0
서울특별시 마포구,35_39,27440,5989,138,0
서울특별시 양천구,18_19,113,243,109,0
서울특별시 양천구,20_24,1691,3699,297,0
서울특별시 양천구,25_29,5185,7028,53,0
서울특별시 양천구,30_34,6190,6691,36,0
서울특별시 양천구,35_39,5734,5261,168,0
서울특별시 강서구,18_19,352,291,68,0
서울특별시 강서구,20_24,7501,5206,163,0
서울특별시 강서구,25_29,28550,10635,50,0
서울특별시 강서구,30_34,36000,11357,53,0
서울특별시 강서구,35_39,31967,8341,196,0
서울특별시 구로구,18_19,248,210,34,0
서울특별시 구로구,20_24,5012,3483,98,0
서울특별시 구로구,25_29,18771,6573,25,0
서울특별시 구로구,30_34,20824,6716,41,0
서울특별시 구로구,35_39,16917,5346,136,0
서울특별시 금천구,18_19,1582,100,8,0
서울특별시 금천구,20_24,8767,1957,25,0
서울특별시 금천구,25_29,27571,4657,8,0
서울특별시 금천구,30_34,29618,4803,10,0
서울특별시 금천구,35_39,23389,3290,56,0
서울특별시 영등포구,18_19,934,180,52,0
서울특별시 영등포구,20_24,14398,3294,153,0
서울특별시 영등포구,25_29,60921,7259,41,0
